pv_to_load_w,batt_to_load_w,grid_to_load_w,pv_surplus_w,soc,bank,pscore,critical_pv_w,critical_batt_w,critical_grid_w,critical_unmet_w,essential_pv_w,essential_batt_w,essential_grid_w,essential_unmet_w,nonessential_pv_w,nonessential_batt_w,nonessential_grid_w,nonessential_unmet_w
325.59731245377327,0.0,0.0,0.0,0.2966899537795209,Rainy,2.5331542405455276,325.59731245377327,0.0,0.0,625.543884883413,0.0,0.0,0.0,60.0,0.0,0.0,0.0,410.0
228.71068461087134,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,228.71068461087134,0.0,0.0,719.7627970760436,0.0,0.0,0.0,60.0,0.0,0.0,0.0,410.0
102.43078110544405,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,102.43078110544405,0.0,0.0,843.9594546932269,0.0,0.0,0.0,60.0,0.0,0.0,0.0,410.0
252.22382571733687,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,252.22382571733687,0.0,0.0,694.5210894068969,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
261.68296260703204,0.0,0.0,0.0,0.2966899537795209,Rainy,2.5552530083140237,261.68296260703204,0.0,0.0,688.4132072862908,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
343.2623173373969,0.0,0.0,0.0,0.2966899537795209,Rainy,2.524078340399495,343.2623173373969,0.0,0.0,607.257127666046,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
652.0952239821122,0.0,0.0,0.0,0.2966899537795209,Rainy,2.4450721841180036,652.0952239821122,0.0,0.0,296.096142767679,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
325.06277728315786,0.0,0.0,0.0,0.2966899537795209,Rainy,2.5334080300031934,325.06277728315786,0.0,0.0,626.2144076343969,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
537.0515412052372,0.0,0.0,0.0,0.2966899537795209,Rainy,2.390003208826849,537.0515412052372,0.0,0.0,409.6254186702249,0.0,0.0,0.0,60.0,0.0,0.0,0.0,410.0
509.02363319870153,0.0,0.0,0.0,0.2966899537795209,Rainy,2.3765713044516517,509.02363319870153,0.0,0.0,440.84420720400385,0.0,0.0,0.0,60.0,0.0,0.0,0.0,410.0
523.3432571376516,0.0,0.0,0.0,0.2966899537795209,Rainy,2.3835048879987406,523.3432571376516,0.0,0.0,424.2347104628235,0.0,0.0,0.0,60.0,0.0,0.0,0.0,410.0
217.33252969948742,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,217.33252969948742,0.0,0.0,731.3637980849082,0.0,0.0,0.0,240.0,0.0,0.0,0.0,410.0
366.4964337492697,0.0,0.0,0.0,0.2966899537795209,Rainy,2.5100391893039156,366.4964337492697,0.0,0.0,583.598363593363,0.0,0.0,0.0,240.0,0.0,0.0,0.0,410.0
221.13311762540877,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,221.13311762540877,0.0,0.0,727.1460556440234,0.0,0.0,0.0,240.0,0.0,0.0,0.0,410.0
297.10605958526963,0.0,0.0,0.0,0.2966899537795209,Rainy,2.5450272751017438,297.10605958526963,0.0,0.0,652.1248293262706,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
383.3603789834926,0.0,0.0,0.0,0.2966899537795209,Rainy,2.498278904359196,383.3603789834926,0.0,0.0,568.6522066349362,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
670.0111978065405,0.0,0.0,0.0,0.2966899537795209,Rainy,2.453731431556036,670.0111978065405,0.0,0.0,278.8350184544132,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
206.7819249921047,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,206.7819249921047,0.0,0.0,744.8894592320256,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
254.59502993864965,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,254.59502993864965,0.0,0.0,693.1455563520351,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
494.3693910980417,0.0,0.0,0.0,0.2966899537795209,Rainy,2.382025055604755,494.3693910980417,0.0,0.0,456.6902172577889,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
608.1556651570504,0.0,0.0,0.0,0.2966899537795209,Rainy,2.4239286932898394,608.1556651570504,0.0,0.0,344.7274720842654,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
826.6030656191658,0.0,0.0,0.0,0.2966899537795209,Rainy,5.0,826.6030656191658,0.0,0.0,118.45364538057959,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
719.0314046880516,0.0,0.0,0.0,0.2966899537795209,Rainy,2.4775346925267474,719.0314046880516,0.0,0.0,229.37480480100749,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
